"AEDECOD" "N"
"FATIGUE" 89
"NAUSEA" 64
"BACK PAIN" 58
"CONSTIPATION" 52
"BONE PAIN" 36
"ARTHRALGIA" 35
"OEDEMA PERIPHERAL" 34
"ANOREXIA" 32
"DIARRHOEA" 31
"ASTHENIA" 30
"PAIN IN EXTREMITY" 29
"ALOPECIA" 25
"VOMITING" 24
"PAIN" 23
"DYSPNOEA" 23
"COUGH" 21
"INSOMNIA" 19
"NEUTROPENIA" 19
"ANAEMIA" 19
"MUSCULOSKELETAL PAIN" 18
"PYREXIA" 18
"PERIPHERAL SENSORY NEUROPATHY" 17
"DIZZINESS" 16
"WEIGHT DECREASED" 16
"NEUROPATHY PERIPHERAL" 14
"NOCTURIA" 14
"HEADACHE" 14
"HAEMATURIA" 11
"PARAESTHESIA" 11
"MUSCULAR WEAKNESS" 11
"DYSGEUSIA" 11
"MUSCULOSKELETAL CHEST PAIN" 10
"NAIL DISORDER" 10
"DYSURIA" 10
"POLLAKIURIA" 10
"ABDOMINAL PAIN" 9
"HOT FLUSH" 9
"LACRIMATION INCREASED" 8
"THROMBOCYTOPENIA" 8
"GROIN PAIN" 8
"DEPRESSION" 8
"DYSPEPSIA" 7
"NASOPHARYNGITIS" 7
"MUCOSAL INFLAMMATION" 7
"DISEASE PROGRESSION" 7
"OROPHARYNGEAL PAIN" 7
"ANXIETY" 7
"LEUKOPENIA" 7
"HYPOAESTHESIA" 6
"BRONCHITIS" 6
"PELVIC PAIN" 6
"HYPERTENSION" 6
"RHINITIS" 6
"INFLUENZA" 6
"DEHYDRATION" 6
"STOMATITIS" 6
"DECREASED APPETITE" 6
"PULMONARY EMBOLISM" 6
"EJECTION FRACTION DECREASED" 6
"MUSCLE SPASMS" 6
"LEFT VENTRICULAR DYSFUNCTION" 5
"INFECTION" 5
"FEBRILE NEUTROPENIA" 5
"HYDRONEPHROSIS" 5
"DRY SKIN" 5
"ERECTILE DYSFUNCTION" 5
"GYNAECOMASTIA" 5
"URINE FLOW DECREASED" 5
"LYMPHOPENIA" 5
"OEDEMA" 5
"BLOOD ALKALINE PHOSPHATASE INCREASED" 5
"HAEMOGLOBIN DECREASED" 5
"ASPARTATE AMINOTRANSFERASE INCREASED" 4
"NIGHT SWEATS" 4
"LIBIDO DECREASED" 4
"DRY EYE" 4
"CONTUSION" 4
"ABDOMINAL DISTENSION" 4
"HYPERHIDROSIS" 4
"HYPOTENSION" 4
"RHINORRHOEA" 4
"CHEST PAIN" 4
"NECK PAIN" 4
"PAIN IN JAW" 3
"HYPERGLYCAEMIA" 3
"GASTRITIS" 3
"PRODUCTIVE COUGH" 3
"MYALGIA" 3
"ABDOMINAL DISCOMFORT" 3
"DYSPHAGIA" 3
"ATRIAL FIBRILLATION" 3
"CHILLS" 3
"URETERIC OBSTRUCTION" 3
"CANDIDIASIS" 3
"VISION BLURRED" 3
"NAIL DISCOLOURATION" 3
"ABDOMINAL PAIN LOWER" 3
"FALL" 3
"TOOTHACHE" 3
"CONFUSIONAL STATE" 3
"ARTHRITIS" 3
"SKIN EXFOLIATION" 3
"SYNCOPE" 3
"RHINITIS ALLERGIC" 3
"COCCYDYNIA" 3
"APHTHOUS STOMATITIS" 3
"HAEMATOCHEZIA" 2
"ERYTHEMA" 2
"DRY MOUTH" 2
"RECTAL HAEMORRHAGE" 2
"CYSTITIS" 2
"PERIPHERAL MOTOR NEUROPATHY" 2
"RASH" 2
"DEEP VEIN THROMBOSIS" 2
"LOBAR PNEUMONIA" 2
"UPPER RESPIRATORY TRACT INFECTION" 2
"ORAL HERPES" 2
"MALAISE" 2
"DEAFNESS" 2
"PRESYNCOPE" 2
"CARDIOTOXICITY" 2
"PLEURAL EFFUSION" 2
"ABDOMINAL PAIN UPPER" 2
"SLEEP APNOEA SYNDROME" 2
"SKIN LESION" 2
"BLOOD BILIRUBIN INCREASED" 2
"HERPES VIRUS INFECTION" 2
"FEELING JITTERY" 2
"ORAL CANDIDIASIS" 2
"ONYCHOCLASIS" 2
"LOCALISED INFECTION" 2
"GLAUCOMA" 2
"HYPOKALAEMIA" 2
"METASTATIC PAIN" 2
"HYPERKALAEMIA" 2
"HERPES ZOSTER" 2
"HYPOCALCAEMIA" 2
"SOMNOLENCE" 2
"FAECAL INCONTINENCE" 2
"GASTROOESOPHAGEAL REFLUX DISEASE" 2
"FLATULENCE" 2
"CELLULITIS" 2
"PENILE OEDEMA" 2
"HYPERURICAEMIA" 2
"DRUG HYPERSENSITIVITY" 2
"MOOD ALTERED" 2
"URINARY INCONTINENCE" 2
"WOUND" 2
"OSTEONECROSIS" 2
"TINNITUS" 2
"SCIATICA" 2
"PSORIASIS" 2
"CONJUNCTIVITIS" 2
"URINARY TRACT INFECTION" 2
"INFLUENZA LIKE ILLNESS" 2
"BLOOD GLUCOSE INCREASED" 2
"BACTERIAL SEPSIS" 1
"RHABDOMYOLYSIS" 1
"HYPOAESTHESIA FACIAL" 1
"BREATH ODOUR" 1
"CANCER PAIN" 1
"CHROMATURIA" 1
"OEDEMA GENITAL" 1
"HYPOACUSIS" 1
"TOOTH EXTRACTION" 1
"ACCIDENTAL OVERDOSE" 1
"BOWEN'S DISEASE" 1
"HYPERCHOLESTEROLAEMIA" 1
"GASTRIC CANCER" 1
"COLITIS ULCERATIVE" 1
"BALANCE DISORDER" 1
"ERYTHEMA OF EYELID" 1
"CERUMEN IMPACTION" 1
"PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME" 1
"EYE IRRITATION" 1
"EYE PAIN" 1
"TOOTH ABSCESS" 1
"TOOTH INFECTION" 1
"ONYCHOMYCOSIS" 1
"HYPOTHYROIDISM" 1
"DYSPNOEA EXERTIONAL" 1
"PROSTATITIS" 1
"LOWER RESPIRATORY TRACT INFECTION" 1
"SEPSIS" 1
"SKIN REACTION" 1
"GINGIVAL PAIN" 1
"ABDOMINAL TENDERNESS" 1
"NASAL CONGESTION" 1
"BURSITIS" 1
"METASTASES TO SPINE" 1
"ASTHMA" 1
"FOOD ALLERGY" 1
"THERMAL BURN" 1
"ALANINE AMINOTRANSFERASE INCREASED" 1
"HEPATITIS" 1
"PANCREATIC MASS" 1
"PANCREATITIS" 1
"CARDIAC MURMUR" 1
"BLOOD UREA INCREASED" 1
"BUNDLE BRANCH BLOCK RIGHT" 1
"PALLOR" 1
"FEELING COLD" 1
"TREMOR" 1
"GASTROINTESTINAL MOTILITY DISORDER" 1
"PROTEIN TOTAL DECREASED" 1
"GASTROENTERITIS VIRAL" 1
"HAPTOGLOBIN" 1
"BURNING SENSATION" 1
"ARTHROPATHY" 1
"MUSCULOSKELETAL DISCOMFORT" 1
"LIMB DISCOMFORT" 1
"HEAD INJURY" 1
"SKIN LACERATION" 1
"ONYCHOLYSIS" 1
"CHEST DISCOMFORT" 1
"LETHARGY" 1
"RENAL FAILURE" 1
"HAEMORRHAGIC DIATHESIS" 1
"SEXUAL DYSFUNCTION" 1
"MIDDLE EAR EFFUSION" 1
"GINGIVITIS" 1
"SKIN CANDIDA" 1
"HYPONATRAEMIA" 1
"BLOOD BICARBONATE DECREASED" 1
"NEUROTOXICITY" 1
"HYPOGLYCAEMIA" 1
"WHITE BLOOD CELL COUNT DECREASED" 1
"NEUTROPHIL COUNT DECREASED" 1
"NODULE" 1
"CHOLECYSTITIS" 1
"AGITATION" 1
"OCULAR SURFACE DISEASE" 1
"BRADYCARDIA" 1
"HERPES SIMPLEX" 1
"BLOOD CREATININE INCREASED" 1
"MYOCLONUS" 1
"OBESITY" 1
"CATHETER RELATED COMPLICATION" 1
"MICTURITION URGENCY" 1
"CLOSTRIDIAL INFECTION" 1
"PSYCHOTIC DISORDER" 1
"PROSTATE CANCER METASTATIC" 1
"IMPAIRED GASTRIC EMPTYING" 1
"CACHEXIA" 1
"CHRONIC OBSTRUCTIVE PULMONARY DISEASE" 1
"BLADDER PAIN" 1
"NEPHROLITHIASIS" 1
"PULMONARY CONGESTION" 1
"VIRAL INFECTION" 1
"PROSTATIC PAIN" 1
"CHONDROSARCOMA" 1
"URINARY TRACT INFECTION FUNGAL" 1
"HAEMORRHAGE URINARY TRACT" 1
"UROSEPSIS" 1
"URINARY HESITATION" 1
"HYPERNATRAEMIA" 1
"PHLEBITIS" 1
"PARONYCHIA" 1
"NASAL SEPTUM DEVIATION" 1
"CUSHINGOID" 1
"DEAFNESS BILATERAL" 1
"TENDON PAIN" 1
"SCROTAL PAIN" 1
"SPINAL COLUMN STENOSIS" 1
"URINARY RETENTION" 1
"SINUS CONGESTION" 1
"TROPONIN INCREASED" 1
"MYOCARDIAL INFARCTION" 1
"PNEUMOCOCCAL SEPSIS" 1
"OSTEOARTHRITIS" 1
"AEROPHAGIA" 1
"JOINT SPRAIN" 1
"PANCYTOPENIA" 1
"MENIERE'S DISEASE" 1
"PERIODONTITIS" 1
"WEIGHT INCREASED" 1
"CARDIAC FAILURE" 1
"CATHETER SITE OEDEMA" 1
"EPIDURITIS" 1
"TRANSAMINASES INCREASED" 1
"PHARYNGITIS" 1
"COLITIS" 1
"NAIL TOXICITY" 1
"URINE ODOUR ABNORMAL" 1
"TUMOUR PAIN" 1
"CARBUNCLE" 1
"FUNGAL INFECTION" 1
"INTERMITTENT CLAUDICATION" 1
"INGUINAL HERNIA" 1
"DISORIENTATION" 1
"PROSTATE TENDERNESS" 1
"PENILE SWELLING" 1
"WHEEZING" 1
"SKIN ATROPHY" 1
"CHOLANGITIS" 1
"METASTASES TO LYMPH NODES" 1
"LYMPHADENOPATHY" 1
"JOINT STIFFNESS" 1
"TOOTH FRACTURE" 1
"INCREASED UPPER AIRWAY SECRETION" 1
"SKIN HYPERPIGMENTATION" 1
"BREATH SOUNDS ABNORMAL" 1
"VERTIGO" 1
"DENTAL DISCOMFORT" 1
"EAR PAIN" 1
"HAEMORRHOIDAL HAEMORRHAGE" 1
"HIP FRACTURE" 1
"METASTASES TO MENINGES" 1
"GENERAL PHYSICAL HEALTH DETERIORATION" 1
"DIPLOPIA" 1
"EJECTION FRACTION ABNORMAL" 1
"POLYURIA" 1
"OCULAR HYPERAEMIA" 1
"HEPATIC ENZYME INCREASED" 1
"VESTIBULAR NYSTAGMUS" 1
"EPISTAXIS" 1
"DISTURBANCE IN ATTENTION" 1
"DYSPHONIA" 1
"PHOTOSENSITIVITY REACTION" 1
"PRURITUS" 1
"EYELID OEDEMA" 1
"PALPITATIONS" 1
"ONYCHOMADESIS" 1
"POSTRENAL FAILURE" 1
"FRACTURE" 1
"FLANK PAIN" 1
"PERINEAL PAIN" 1
"PROCTITIS" 1
"DIVERTICULITIS" 1
"STREPTOCOCCAL INFECTION" 1
"MULTIPLE FRACTURES" 1
"TESTICULAR PAIN" 1
"LYMPHOEDEMA" 1
"THROMBOPHLEBITIS" 1
"URTICARIA" 1
